,Release ID,Album,Year,Artist Name,Label
257,612828,2006,Isobel Campbell,Ballad Of The Broken Seas,V2
258,614845,1999,Fugazi,Instrument Soundtrack,Dischord Records
259,616665,2005,Bill Nelson,Chimera,Mercury
260,618157,2000,The Cure,Bloodflowers,Fiction Records
261,618550,1996,Catherine Wheel,Like Cats And Dogs,Mercury
262,619153,1987,David Sylvian,Secrets Of The Beehive,Virgin
263,626407,1995,Hum (2),You'd Prefer An Astronaut,RCA
264,630813,2000,Carissa's Wierd,Ugly But Honest: 1996-1999,Brown Records
265,632031,1994,Silkworm,In The West,C/Z Records
266,632091,1999,Noriyuki Iwadare,Lunar: Silver Star Story Complete - Music Soundtrack,Sony Computer Entertainment America
267,632361,1995,Air Miami,Me. Me. Me.,4AD
268,635535,1993,PJ Harvey,Rid Of Me,Island Records
269,640256,1995,Mojave 3,Ask Me Tomorrow,4AD
270,640741,1981,Nick Mason,Nick Mason's Fictitious Sports,Harvest
271,642551,1988,R.E.M.,Green,Warner Bros. Records
272,650986,1981,Eyeless In Gaza,Caught In Flux,Cherry Red
273,651361,1992,Grenadine,Goya,Shimmy Disc
274,652054,1993,Red House Painters,Red House Painters,4AD
275,652106,1993,Red House Painters,Red House Painters,4AD
276,652856,1998,Bob Mould,The Last Dog And Pony Show,Rykodisc
277,653121,2001,Red House Painters,Old Ramon,Sub Pop
278,653382,1997,Karate,In Place Of Real Insight,Southern Records
279,653396,1995,Karate,Karate,Southern Records
280,653402,2000,Karate,Unsolved,Southern Records
281,656349,1989,Minutemen,Double Nickels On The Dime,SST Records
282,656646,1991,Sad Lovers And Giants,Treehouse Poetry,Midnight Music
283,662000,1995,Scott Walker,Tilt,Fontana
284,662338,2006,Casiotone For The Painfully Alone,Etiquette,Tomlab
285,671621,2004,Neko Case,The Tigers Have Spoken,Anti-
286,672504,2003,Echo & The Bunnymen,Porcupine,Warner Strategic Marketing
287,672948,2001,Songs: Ohia,Mi Sei Apparso Come Un Fantasma,Paper Cup
288,673919,1988,The Go-Betweens,16 Lovers Lane,Mushroom
289,675944,1988,Talk Talk,Spirit Of Eden,Parlophone
290,676970,2006,Bibio,Hand Cranked,Mush
291,679121,2006,Neil Young,Living With War,Reprise Records
292,682006,2006,Neko Case,Fox Confessor Brings The Flood,Mint Records (12)
293,686579,2006,The Radio Dept.,The Worst Taste In Music,Labrador
294,686588,2006,The Radio Dept.,Pet Grief,Labrador
295,689288,1990,The Chameleons,Tony Fletcher Walked On Water.... La La La La La - La La - La - La,Glass Pyramid
296,695356,2003,Sun Kil Moon,Ghosts Of The Great Highway,Jetset Records
297,700352,2002,Songs: Ohia,Didn't It Rain,Secretly Canadian
298,700611,2006,Scott Walker,The Drift,4AD
299,702397,1991,Throwing Muses,The Real Ramona,4AD
300,702778,2005,Karate,In The Fishtank 12,Konkurrent
301,704435,1992,Disco Inferno,In Debt,ché
302,706775,2006,Sonic Youth,Rather Ripped,Geffen Records
303,707347,1988,My Dad Is Dead,Let's Skip The Details,Homestead Records
304,708594,2006,Siouxsie & The Banshees,Kaleidoscope,Polydor
305,709471,1998,Joel R. L. Phelps,3,Pacifico Recordings
306,709958,2006,Mojave 3,Puzzles Like You,4AD
307,719398,1996,Bedhead,Beheaded,Trance Syndicate Records
308,720004,1979,Magazine,Secondhand Daylight,Virgin
309,721939,1977,Neil Young,American Stars 'N Bars,Reprise Records
310,725926,1976,Tom Waits,Small Change,Asylum Records
311,736364,2001,Gillian Welch,Time (The Revelator),Acony Records
312,737786,1990,The Chameleons,John Peel Sessions,Strange Fruit
313,740693,2002,Minus The Bear,Highly Refined Pirates,Suicide Squeeze
314,740723,2005,Minus The Bear,Menos El Oso,Suicide Squeeze
315,743077,1974,Brian Eno,Taking Tiger Mountain (By Strategy),Island Records
316,743707,2006,Erase Errata,Night Life,Kill Rock Stars
317,745993,1997,Long Fin Killie,Amelia,Too Pure
318,747340,1997,Mineral,The Power Of Failing,Crank!
319,748457,1996,Disco Inferno,Technicolour,Rough Trade
320,751089,2006,The Cure,Kiss Me Kiss Me Kiss Me,Rhino Records (2)
321,753150,1988,Felt,The Pictorial Jackson Review,Creation Records
322,753181,2002,Peter Gabriel,Up,Real World Records
323,754791,2001,Life Without Buildings,Any Other City,Tugboat Records
